material_id,formula,bulk_modulus_vrh,crystal_system,elements,num_elements
mp-214,ZrRu,180.261,cubic,"['Ru', 'Zr']",2
mp-258,ZrV2,138.858,cubic,"['V', 'Zr']",2
mp-196,Al5Co2,124.129,hex_,"['Al', 'Co']",2
mp-215,YSb,57.085,cubic,"['Sb', 'Y']",2
mp-173,MnAl6,110.784,ortho,"['Al', 'Mn']",2
mp-189,SiRu,203.638,cubic,"['Ru', 'Si']",2
mp-259,AlMo3,224.498,cubic,"['Al', 'Mo']",2
mp-171,VNi3,217.129,tet,"['Ni', 'V']",2
mp-179,YZn,52.307,cubic,"['Y', 'Zn']",2
mp-188,AlPt3,224.023,cubic,"['Al', 'Pt']",2
mp-191,YRh,106.896,cubic,"['Rh', 'Y']",2
mp-195,HoPt3,174.749,cubic,"['Ho', 'Pt']",2
mp-265,TaIr3,323.564,cubic,"['Ir', 'Ta']",2
mp-193,Zr2Cu,105.707,tet,"['Cu', 'Zr']",2
mp-220,ThNi2,223.876,hex_,"['Ni', 'Th']",2
mp-249,HfAl,117.671,ortho,"['Al', 'Hf']",2
mp-255,NaHg,17.221,ortho,"['Hg', 'Na']",2
mp-204,CeFe2,74.162,cubic,"['Ce', 'Fe']",2
mp-213,CaPd,55.058,cubic,"['Ca', 'Pd']",2
mp-238,MnPd,131.6,tet,"['Mn', 'Pd']",2
mp-260,CrB,295.159,ortho,"['B', 'Cr']",2
mp-232,DyRh,112.175,cubic,"['Dy', 'Rh']",2
mp-227,SmCu5,104.928,hex_,"['Cu', 'Sm']",2
mp-229,ZrRh3,209.808,cubic,"['Rh', 'Zr']",2
mp-266,Zr2Pd,123.894,tet,"['Pd', 'Zr']",2
mp-274,Nb5Sb4,96.984,tet,"['Nb', 'Sb']",2
mp-276,TbNi2,119.456,cubic,"['Ni', 'Tb']",2
mp-284,AlCo,178.781,cubic,"['Al', 'Co']",2
mp-310,NpCo2,171.119,cubic,"['Co', 'Np']",2
mp-300,YbPt3,158.564,cubic,"['Pt', 'Yb']",2
mp-303,BaZn5,47.618,ortho,"['Ba', 'Zn']",2
mp-312,ThIr5,674.209,hex_,"['Ir', 'Th']",2
mp-279,LiIr,141.786,hex_,"['Ir', 'Li']",2
mp-291,TiOs,248.343,cubic,"['Os', 'Ti']",2
mp-305,TiFe,198.715,cubic,"['Fe', 'Ti']",2
mp-281,YbCo2,93.676,cubic,"['Co', 'Yb']",2
mp-309,ThAg2,83.938,hex_,"['Ag', 'Th']",2
mp-316,MnV,243.086,cubic,"['Mn', 'V']",2
mp-331,ScAl,78.486,cubic,"['Al', 'Sc']",2
mp-318,SrIr2,146.445,cubic,"['Ir', 'Sr']",2
mp-348,TmPd,97.651,cubic,"['Pd', 'Tm']",2
mp-328,Zr2Ni,117.807,tet,"['Ni', 'Zr']",2
mp-321,RhPb2,80.123,tet,"['Pb', 'Rh']",2
mp-345,HfB,172.719,cubic,"['B', 'Hf']",2
mp-333,HfFe2,163.391,cubic,"['Fe', 'Hf']",2
mp-336,SmCo2,508.248,cubic,"['Co', 'Sm']",2
mp-317,SnRh,140.398,cubic,"['Rh', 'Sn']",2
mp-377,LuRh,122.628,cubic,"['Lu', 'Rh']",2
mp-351,SiNi,164.819,ortho,"['Ni', 'Si']",2
mp-450,NbB2,286.562,hex_,"['B', 'Nb']",2
mp-436,SmRh,101.019,cubic,"['Rh', 'Sm']",2
mp-449,Fe5Si3,175.831,hex_,"['Fe', 'Si']",2
mp-417,MnRh,183.708,cubic,"['Mn', 'Rh']",2
